center_id,month,ats,openings,applications_received,apps_per_opening,applications_reviewed,recruiter_minutes_per_application,days_to_fill,local_unemployment_rate,wage_index,recruiter_hourly_rate,grader_hourly_rate,sourcing_cost_per_opening,training_cost_per_hire,ramp_productivity_loss_per_hire,vacancy_cost_per_day,separation_cost_per_exit,claims_per_adjuster_6mo,cost_per_reopened_claim
C00,2021-01,legacy,12,1706,142.2,84,6.54,26.8,3.77,1.0,66.3,60.25,779.01,4877.98,6999.09,234.86,3052.8,566,418.26
C00,2021-02,legacy,17,3017,177.5,145,5.24,23.3,3.89,1.003,68.84,60.48,782.64,5227.92,6575.04,242.26,2656.08,566,372.38
C00,2021-03,legacy,17,2578,151.6,151,6.13,17.8,3.87,1.006,66.6,59.87,885.34,5157.09,6910.76,212.78,2383.95,566,365.98
C00,2021-04,legacy,21,3349,159.5,202,5.83,28.7,4.21,1.009,69.06,61.25,788.63,5341.37,6613.95,198.49,2551.48,566,400.04
C00,2021-05,legacy,15,2104,140.3,184,6.63,22.7,3.93,1.012,70.06,58.2,692.29,4725.91,6836.66,195.09,2761.73,566,355.27
C00,2021-06,legacy,21,2960,141.0,209,6.6,22.8,3.48,1.015,68.96,61.78,747.25,4648.55,6941.57,261.21,2771.92,566,387.29
C00,2021-07,legacy,16,2385,149.1,158,6.24,23.8,3.66,1.018,68.72,59.99,874.62,5979.25,6936.83,217.66,2364.25,566,363.87
C00,2021-08,legacy,26,3877,149.1,258,6.24,18.8,3.35,1.02,68.13,61.32,927.99,5729.63,6669.17,211.15,2664.48,566,367.96
C00,2021-09,legacy,17,2684,157.9,132,5.89,26.8,3.71,1.023,67.58,60.38,784.7,5423.57,7381.98,216.53,2227.45,566,357.0
C00,2021-10,legacy,16,2267,141.7,125,6.56,25.3,3.55,1.026,71.04,60.81,843.52,5477.26,6586.29,248.69,2552.15,566,446.28
C00,2021-11,legacy,17,2642,155.4,187,5.98,22.0,3.37,1.029,67.7,60.52,857.37,5178.43,6254.59,227.1,2996.42,566,398.99
