placement_id,application_id,center_id,placement_month,certification_level,weeks_assigned,claims_closed,claims_reopened,reopen_rate_pct
1,17,C00,2021-01,licensed,10,128,14,10.938
2,23,C00,2021-01,entry,13,156,11,7.051
3,41,C00,2021-01,experienced,10,123,11,8.943
4,44,C00,2021-01,licensed,15,206,26,12.621
5,56,C00,2021-01,entry,11,154,31,20.13
6,57,C00,2021-01,experienced,17,223,15,6.726
7,61,C00,2021-01,experienced,24,334,29,8.683
8,68,C00,2021-01,experienced,20,265,26,9.811
9,73,C00,2021-01,entry,11,168,11,6.548
10,94,C00,2021-02,licensed,13,154,6,3.896
11,100,C00,2021-02,licensed,18,219,31,14.155
12,113,C00,2021-02,licensed,22,272,24,8.824
13,124,C00,2021-02,entry,6,78,12,15.385
14,134,C00,2021-02,experienced,14,182,23,12.637
15,145,C00,2021-02,entry,11,139,13,9.353
16,147,C00,2021-02,experienced,17,203,14,6.897
17,158,C00,2021-02,experienced,15,190,13,6.842
18,163,C00,2021-02,licensed,15,209,18,8.612
19,200,C00,2021-02,entry,17,213,17,7.981
20,213,C00,2021-02,licensed,17,217,34,15.668
21,214,C00,2021-02,entry,19,270,16,5.926
22,218,C00,2021-02,entry,18,205,20,9.756
23,221,C00,2021-02,licensed,12,157,19,12.102
24,244,C00,2021-03,licensed,18,241,30,12.448
25,247,C00,2021-03,licensed,8,111,5,4.505
26,253,C00,2021-03,licensed,17,196,16,8.163
27,257,C00,2021-03,entry,14,199,23,11.558
28,263,C00,2021-03,entry,19,227,19,8.37
29,267,C00,2021-03,entry,13,171,18,10.526
30,269,C00,2021-03,entry,12,152,19,12.5
31,298,C00,2021-03,licensed,10,133,18,13.534
32,308,C00,2021-03,experienced,11,148,18,12.162
33,314,C00,2021-03,entry,11,136,13,9.559
34,318,C00,2021-03,licensed,11,136,10,7.353
35,320,C00,2021-03,experienced,10,141,14,9.929
36,329,C00,2021-03,licensed,18,250,30,12.0
37,357,C00,2021-03,entry,12,159,20,12.579
38,369,C00,2021-03,licensed,12,171,26,15.205
39,383,C00,2021-04,entry,13,200,9,4.5
40,399,C00,2021-04,entry,13,168,12,7.143
41,423,C00,2021-04,entry,11,134,11,8.209
42,446,C00,2021-04,licensed,10,130,23,17.692
43,484,C00,2021-04,entry,13,180,19,10.556
44,485,C00,2021-04,entry,18,244,16,6.557
45,497,C00,2021-04,licensed,15,182,8,4.396
46,505,C00,2021-04,licensed,20,253,16,6.324
47,512,C00,2021-04,licensed,12,172,16,9.302
48,538,C00,2021-04,licensed,8,108,16,14.815
49,539,C00,2021-04,entry,10,142,12,8.451
50,547,C00,2021-04,entry,10,149,7,4.698
51,550,C00,2021-04,entry,19,244,25,10.246
52,558,C00,2021-04,experienced,11,143,15,10.49
53,569,C00,2021-04,experienced,20,261,36,13.793
54,588,C00,2021-05,licensed,11,151,17,11.258
55,594,C00,2021-05,experienced,12,165,23,13.939
56,600,C00,2021-05,experienced,14,165,22,13.333
57,603,C00,2021-05,experienced,8,101,7,6.931
58,619,C00,2021-05,experienced,8,82,5,6.098
59,629,C00,2021-05,entry,16,197,20,10.152
60,639,C00,2021-05,licensed,15,194,12,6.186
61,641,C00,2021-05,entry,13,166,25,15.06
62,667,C00,2021-05,experienced,11,145,23,15.862
63,670,C00,2021-05,licensed,13,168,12,7.143
64,682,C00,2021-05,experienced,11,139,9,6.475
65,688,C00,2021-05,licensed,7,93,10,10.753
66,690,C00,2021-05,experienced,16,210,25,11.905
67,722,C00,2021-05,licensed,16,217,15,6.912
68,728,C00,2021-05,entry,13,172,18,10.465
69,749,C00,2021-05,entry,10,124,18,14.516
70,751,C00,2021-05,entry,20,256,28,10.938
71,803,C00,2021-06,experienced,14,185,25,13.514
72,840,C00,2021-06,licensed,14,178,9,5.056
73,861,C00,2021-06,licensed,12,148,18,12.162
74,865,C00,2021-06,experienced,16,180,16,8.889
75,874,C00,2021-06,entry,12,164,22,13.415
76,895,C00,2021-06,licensed,18,243,42,17.284
77,934,C00,2021-06,entry,8,93,5,5.376
78,943,C00,2021-06,entry,7,78,9,11.538
79,945,C00,2021-06,experienced,14,172,30,17.442
80,960,C00,2021-06,experienced,18,249,35,14.056
81,974,C00,2021-06,licensed,17,218,22,10.092
82,986,C00,2021-07,licensed,15,180,22,12.222
83,989,C00,2021-07,licensed,16,248,26,10.484
84,991,C00,2021-07,experienced,14,168,22,13.095
85,995,C00,2021-07,entry,13,169,6,3.55
86,1000,C00,2021-07,experienced,12,137,9,6.569
87,1003,C00,2021-07,licensed,10,131,13,9.924
88,1048,C00,2021-07,entry,7,93,6,6.452
89,1051,C00,2021-07,experienced,18,232,37,15.948
90,1055,C00,2021-07,entry,26,382,45,11.78
91,1057,C00,2021-07,experienced,16,217,12,5.53
