hire_id,application_id,center_id,start_month,starting_wage,coaching_hours_first_90d,claims_closed_6mo,claims_reopened_6mo,reopen_rate_6mo_pct,retained_6mo,separation_month,separation_reason
1,3,C00,2021-01,30.18,2.2,537,26,4.842,1,,
2,7,C00,2021-01,30.71,6.6,473,43,9.091,0,2021-06,voluntary
3,14,C00,2021-02,31.78,1.8,596,50,8.389,1,,
4,21,C00,2021-03,31.96,4.4,560,28,5.0,1,,
5,26,C00,2021-02,28.43,4.6,586,43,7.338,1,,
6,49,C00,2021-03,31.15,2.2,570,25,4.386,1,,
7,55,C00,2021-02,27.69,4.8,593,65,10.961,1,,
8,76,C00,2021-02,28.88,0.0,288,23,7.986,0,2021-05,performance
9,77,C00,2021-01,26.94,2.8,635,50,7.874,1,,
10,78,C00,2021-02,30.36,,192,34,17.708,0,2021-04,performance
11,81,C00,2021-02,27.17,3.5,538,36,6.691,1,,
12,90,C00,2021-03,30.29,1.5,331,21,6.344,0,2021-07,voluntary
13,95,C00,2021-03,28.92,2.5,541,35,6.47,1,,
14,97,C00,2021-03,31.0,4.7,552,32,5.797,1,,
15,99,C00,2021-03,31.93,0.0,542,44,8.118,1,,
16,108,C00,2021-03,28.66,5.2,557,45,8.079,1,,
17,117,C00,2021-02,30.28,4.2,632,70,11.076,1,,
18,120,C00,2021-03,27.18,1.7,538,30,5.576,1,,
19,125,C00,2021-04,29.42,0.5,577,68,11.785,1,,
20,131,C00,2021-03,27.94,0.0,584,62,10.616,1,,
21,136,C00,2021-02,29.1,1.3,298,20,6.711,0,2021-05,voluntary
22,141,C00,2021-03,30.32,2.1,599,47,7.846,1,,
23,166,C00,2021-03,29.88,8.8,588,50,8.503,1,,
24,169,C00,2021-02,30.78,2.5,565,26,4.602,1,,
25,188,C00,2021-02,30.32,4.1,560,32,5.714,1,,
26,194,C00,2021-03,29.28,5.9,533,54,10.131,1,,
27,206,C00,2021-03,29.72,,550,40,7.273,1,,
28,207,C00,2021-02,28.64,0.4,571,27,4.729,1,,
29,239,C00,2021-03,29.05,5.9,533,24,4.503,1,,
30,250,C00,2021-04,30.67,10.4,527,76,14.421,1,,
31,254,C00,2021-03,30.02,5.6,562,29,5.16,1,,
32,259,C00,2021-04,29.9,3.9,278,21,7.554,0,2021-07,performance
33,270,C00,2021-04,28.02,5.8,570,53,9.298,1,,
34,274,C00,2021-03,30.84,,102,8,7.843,0,2021-04,attendance
35,284,C00,2021-03,31.36,2.1,533,32,6.004,1,,
36,286,C00,2021-03,29.62,6.0,568,37,6.514,1,,
37,288,C00,2021-04,30.26,,107,8,7.477,0,2021-05,voluntary
38,290,C00,2021-04,31.75,,83,5,6.024,0,2021-05,attendance
39,297,C00,2021-04,29.29,7.6,578,29,5.017,1,,
40,328,C00,2021-03,29.55,,96,7,7.292,0,2021-04,performance
41,335,C00,2021-03,29.19,7.3,566,43,7.597,1,,
42,338,C00,2021-04,31.99,4.4,557,19,3.411,1,,
43,352,C00,2021-03,30.33,9.2,571,34,5.954,1,,
44,358,C00,2021-04,29.67,3.9,629,16,2.544,1,,
45,382,C00,2021-05,30.41,2.9,563,60,10.657,1,,
46,405,C00,2021-05,29.81,4.8,573,62,10.82,1,,
47,408,C00,2021-05,32.79,5.6,583,69,11.835,1,,
48,420,C00,2021-05,31.09,3.6,571,48,8.406,1,,
49,424,C00,2021-05,30.55,5.1,583,54,9.262,1,,
50,426,C00,2021-04,31.5,3.5,561,61,10.873,1,,
51,429,C00,2021-05,31.35,6.3,571,86,15.061,1,,
52,430,C00,2021-05,29.68,0.4,585,16,2.735,1,,
53,441,C00,2021-05,28.32,2.1,468,47,10.043,0,2021-10,attendance
54,454,C00,2021-04,33.02,3.3,545,31,5.688,1,,
55,459,C00,2021-05,26.93,4.2,577,46,7.972,1,,
56,466,C00,2021-05,29.83,,199,14,7.035,0,2021-07,voluntary
57,481,C00,2021-05,28.91,5.1,587,48,8.177,1,,
58,498,C00,2021-05,29.53,6.7,548,39,7.117,1,,
59,504,C00,2021-05,29.0,7.6,512,37,7.227,1,,
60,513,C00,2021-05,30.88,5.8,549,15,2.732,1,,
61,520,C00,2021-05,31.82,5.2,525,61,11.619,1,,
62,536,C00,2021-05,28.89,5.3,569,75,13.181,1,,
63,561,C00,2021-06,31.81,4.8,583,58,9.949,1,,
64,568,C00,2021-05,29.13,4.0,594,41,6.902,1,,
65,570,C00,2021-05,30.18,,180,0,0.0,0,2021-07,attendance
66,584,C00,2021-06,28.66,5.6,554,32,5.776,1,,
67,585,C00,2021-06,30.67,0.0,559,9,1.61,1,,
68,593,C00,2021-05,32.3,7.4,583,58,9.949,1,,
69,598,C00,2021-06,31.26,0.8,550,36,6.545,1,,
70,604,C00,2021-06,31.32,5.8,565,73,12.92,1,,
71,609,C00,2021-06,29.87,0.5,542,35,6.458,1,,
72,626,C00,2021-05,31.97,4.8,565,29,5.133,1,,
73,630,C00,2021-05,32.11,8.4,568,56,9.859,1,,
74,654,C00,2021-05,31.58,,168,24,14.286,0,2021-07,performance
75,678,C00,2021-05,28.33,2.8,552,21,3.804,1,,
76,692,C00,2021-05,33.72,3.4,556,49,8.813,1,,
77,717,C00,2021-06,31.89,7.3,526,46,8.745,1,,
78,738,C00,2021-05,33.36,0.0,570,27,4.737,1,,
79,756,C00,2021-06,31.55,,186,30,16.129,0,2021-08,voluntary
80,759,C00,2021-05,29.16,7.2,593,66,11.13,1,,
81,776,C00,2021-07,30.66,4.3,549,41,7.468,1,,
82,785,C00,2021-06,33.37,5.5,557,21,3.77,1,,
83,786,C00,2021-07,30.43,3.4,572,56,9.79,1,,
84,800,C00,2021-08,32.38,8.3,576,25,4.34,1,,
85,801,C00,2021-07,34.5,6.8,572,25,4.371,1,,
86,804,C00,2021-07,28.83,3.6,547,34,6.216,1,,
87,805,C00,2021-06,29.49,4.5,552,69,12.5,1,,
88,834,C00,2021-07,32.65,4.1,556,48,8.633,1,,
89,838,C00,2021-07,28.42,9.9,537,14,2.607,1,,
90,842,C00,2021-07,30.19,6.5,539,34,6.308,1,,
91,844,C00,2021-06,29.23,0.0,596,60,10.067,1,,
92,849,C00,2021-07,30.86,,161,17,10.559,0,2021-09,voluntary
93,884,C00,2021-06,32.09,8.5,540,39,7.222,1,,
94,896,C00,2021-07,31.94,0.5,498,27,5.422,0,2021-12,performance
95,908,C00,2021-07,31.13,2.3,579,40,6.908,1,,
96,909,C00,2021-07,30.79,6.9,566,27,4.77,1,,
97,922,C00,2021-07,31.44,4.2,372,33,8.871,0,2021-11,performance
98,925,C00,2021-07,31.57,10.4,584,46,7.877,1,,
99,929,C00,2021-06,30.49,4.3,584,35,5.993,1,,
100,969,C00,2021-07,30.45,4.1,531,28,5.273,1,,
101,977,C00,2021-07,30.75,5.2,591,47,7.953,1,,
102,985,C00,2021-07,30.72,2.3,568,48,8.451,1,,
103,990,C00,2021-08,32.04,7.4,564,14,2.482,1,,
104,1006,C00,2021-08,27.78,5.0,533,37,6.942,1,,
105,1008,C00,2021-07,31.33,1.1,561,23,4.1,1,,
106,1015,C00,2021-08,30.23,4.7,584,46,7.877,1,,
107,1035,C00,2021-08,32.72,,99,7,7.071,0,2021-09,voluntary
108,1037,C00,2021-08,33.85,7.6,564,24,4.255,1,,
109,1062,C00,2021-08,32.87,0.0,589,60,10.187,1,,
110,1070,C00,2021-08,29.61,7.8,579,54,9.326,1,,
111,1080,C00,2021-07,28.63,8.2,568,54,9.507,1,,
112,1104,C00,2021-08,28.96,8.9,466,27,5.794,0,2022-01,voluntary
113,1111,C00,2021-08,31.21,0.0,544,41,7.537,0,2022-02,performance
114,1117,C00,2021-07,31.24,,194,7,3.608,0,2021-09,performance
115,1127,C00,2021-08,26.43,0.0,490,4,0.816,0,2022-01,attendance
116,1130,C00,2021-08,28.67,2.9,533,55,10.319,0,2022-02,performance
117,1152,C00,2021-08,30.61,1.6,307,26,8.469,0,2021-11,voluntary
118,1155,C00,2021-08,32.11,0.0,556,56,10.072,1,,
119,1166,C00,2021-09,31.64,4.8,539,52,9.647,1,,
120,1176,C00,2021-09,29.48,,543,48,8.84,1,,
121,1183,C00,2021-09,29.43,1.2,575,47,8.174,1,,
122,1188,C00,2021-09,31.06,,83,10,12.048,0,2021-10,voluntary
123,1203,C00,2021-08,29.76,6.3,573,42,7.33,1,,
124,1216,C00,2021-08,30.74,5.6,558,19,3.405,1,,
125,1229,C00,2021-08,30.51,,87,5,5.747,0,2021-09,attendance
126,1246,C00,2021-09,34.19,1.1,388,23,5.928,0,2022-01,voluntary
127,1281,C00,2021-08,32.09,5.6,580,39,6.724,1,,
128,1289,C00,2021-08,30.07,7.4,555,30,5.405,1,,
