,candidate_month,pre_mean,post_mean,t
0,2022-07,18.009,19.729,69.806
1,2022-08,18.008,19.75,73.13
2,2022-09,18.01,19.774,76.576
3,2022-10,18.001,19.799,80.367
4,2022-11,18.015,19.823,83.025
5,2022-12,18.014,19.847,86.219
6,2023-01,18.016,19.875,89.628
7,2023-02,18.008,19.9,92.929
8,2023-03,18.015,19.923,95.477
9,2023-04,18.017,19.958,99.165
10,2023-05,18.033,19.993,102.304
11,2023-06,18.045,20.028,105.414
12,2023-07,18.065,20.066,108.213
13,2023-08,18.076,20.104,111.233
14,2023-09,18.092,20.138,113.566
15,2023-10,18.125,20.181,115.857
16,2023-11,18.159,20.225,117.916
17,2023-12,18.194,20.27,119.748
