outcome,term,estimate,se,ci_low,ci_high,p,n,clusters
resume_score,"new ATS effect, pre-AI era (2021-22)",-0.0034,0.0058,-0.0147,0.0079,0.5594,529302,40
resume_score,"DiD interaction: extra new-ATS effect, AI era",-0.01,0.0057,-0.0211,0.0011,0.0778,529302,40
resume_score,"post-era gap, new vs legacy (sum of the two)",-0.0134,0.007,-0.0272,0.0004,0.0572,529302,40
has_adjuster_license,"new ATS effect, pre-AI era (2021-22)",-0.0003,0.003,-0.0062,0.0056,0.916,529302,40
has_adjuster_license,"DiD interaction: extra new-ATS effect, AI era",-0.0261,0.0043,-0.0346,-0.0177,0.0,529302,40
has_adjuster_license,"post-era gap, new vs legacy (sum of the two)",-0.0265,0.0036,-0.0336,-0.0193,0.0,529302,40
prior_claims_experience,"new ATS effect, pre-AI era (2021-22)",0.0009,0.0024,-0.0038,0.0055,0.7152,529302,40
prior_claims_experience,"DiD interaction: extra new-ATS effect, AI era",-0.0238,0.0042,-0.0321,-0.0155,0.0,529302,40
prior_claims_experience,"post-era gap, new vs legacy (sum of the two)",-0.0229,0.0037,-0.0302,-0.0156,0.0,529302,40
prior_claims_years,"new ATS effect, pre-AI era (2021-22)",-0.0065,0.0089,-0.024,0.011,0.4686,529302,40
prior_claims_years,"DiD interaction: extra new-ATS effect, AI era",-0.0532,0.0129,-0.0784,-0.028,0.0,529302,40
prior_claims_years,"post-era gap, new vs legacy (sum of the two)",-0.0597,0.0106,-0.0804,-0.0389,0.0,529302,40
referral,"new ATS effect, pre-AI era (2021-22)",-0.0036,0.0018,-0.0071,-0.0001,0.0425,529302,40
referral,"DiD interaction: extra new-ATS effect, AI era",-0.0115,0.0028,-0.017,-0.0061,0.0,529302,40
referral,"post-era gap, new vs legacy (sum of the two)",-0.0152,0.0029,-0.0209,-0.0095,0.0,529302,40
currently_employed,"new ATS effect, pre-AI era (2021-22)",0.003,0.0032,-0.0032,0.0093,0.3424,529302,40
currently_employed,"DiD interaction: extra new-ATS effect, AI era",-0.0211,0.0029,-0.0267,-0.0154,0.0,529302,40
currently_employed,"post-era gap, new vs legacy (sum of the two)",-0.018,0.0038,-0.0255,-0.0106,0.0,529302,40
