,regime,predictor,estimate,se,ci_low,ci_high,n,clusters
0,legacy_pre,essay_rubric_score,0.0081,0.001,0.0062,0.0101,13040,40
1,legacy_pre,resume_score,0.01,0.0027,0.0047,0.0152,13040,40
2,legacy_pre,has_adjuster_license,0.0163,0.0056,0.0054,0.0272,13040,40
3,legacy_pre,prior_claims_years,0.0036,0.0013,0.001,0.0062,13040,40
4,legacy_pre,referral,0.0156,0.0054,0.005,0.0263,13040,40
5,legacy_pre,interview_score,0.0086,0.0044,-0.0001,0.0172,13040,40
6,legacy_post,essay_rubric_score,0.0049,0.0017,0.0015,0.0083,6326,28
7,legacy_post,resume_score,0.0118,0.0043,0.0035,0.0202,6326,28
8,legacy_post,has_adjuster_license,0.0453,0.008,0.0296,0.061,6326,28
9,legacy_post,prior_claims_years,0.0076,0.0017,0.0042,0.0109,6326,28
10,legacy_post,referral,0.0241,0.0077,0.0091,0.0392,6326,28
11,legacy_post,interview_score,0.0268,0.0083,0.0105,0.0431,6326,28
12,new_pre,essay_rubric_score,0.0105,0.0018,0.0069,0.014,5920,12
13,new_pre,resume_score,0.0094,0.0023,0.0049,0.014,5920,12
14,new_pre,has_adjuster_license,0.0282,0.0103,0.0081,0.0484,5920,12
15,new_pre,prior_claims_years,0.0049,0.0028,-0.0005,0.0104,5920,12
16,new_pre,referral,0.0169,0.0083,0.0007,0.0331,5920,12
17,new_pre,interview_score,0.0175,0.0074,0.003,0.032,5920,12
18,new_post,essay_rubric_score,-0.0013,0.0012,-0.0037,0.001,16391,33
19,new_post,resume_score,0.0192,0.0029,0.0135,0.0248,16391,33
20,new_post,has_adjuster_license,0.049,0.0053,0.0386,0.0593,16391,33
21,new_post,prior_claims_years,0.0053,0.0016,0.0021,0.0084,16391,33
22,new_post,referral,0.0324,0.0057,0.0212,0.0436,16391,33
23,new_post,interview_score,0.0268,0.0041,0.0188,0.0348,16391,33
