approach,approach_desc,outcome,outcome_desc,unmatched_gap,unmatched_ci_low,unmatched_ci_high,matched_gap,matched_ci_low,matched_ci_high,matched_se,n_legacy_centers,n_legacy_rows,n_comparison_centers_unmatched,n_comparison_rows_unmatched,n_comparison_centers_matched,n_comparison_rows_matched,matched_clusters,comparison_centers,wild_bootstrap_p_299
band,"same region, size_index within the legacy centers' min..max",retained_6mo,six-month retention (share of hires),0.03620481095294966,-0.002505909391919213,0.07491553129781853,0.05049137987999233,0.005251684272476742,0.09573107548750792,0.02308190148612961,7,1737,33,11440,9,2050,16,"C00(1), C01(1), C05(1), C07(1), C14(1), C19(1), C25(1), C27(1), C32(1)",0.07357859531772576
band,"same region, size_index within the legacy centers' min..max",reopen_rate_6mo_pct,reopen rate (percentage points),-0.8844667771810539,-1.3109270780426083,-0.4580064763194994,-0.8208597050097988,-1.3304675000045874,-0.3112519100150102,0.2600087547600414,7,1737,33,11440,9,2050,16,"C00(1), C01(1), C05(1), C07(1), C14(1), C19(1), C25(1), C27(1), C32(1)",
band,"same region, size_index within the legacy centers' min..max",days_to_fill,"days to fill (days, center-month panel)",-1.1622897986826826,-1.4485499702895486,-0.8760296270758166,-0.7645673894557699,-1.095117803980599,-0.4340169749309406,0.16865126968259048,7,168,33,750,9,198,16,"C00(1), C01(1), C05(1), C07(1), C14(1), C19(1), C25(1), C27(1), C32(1)",
nn1,"nearest neighbour, k=1, on size_index within region",retained_6mo,six-month retention (share of hires),0.03620481095294966,-0.002505909391919213,0.07491553129781853,0.033578825945894605,-0.008304958844188262,0.07546261073597747,0.02136967062683642,7,1737,33,11440,5,1342,12,"C05(1), C12(1), C19(1), C25(3), C27(1)",
nn1,"nearest neighbour, k=1, on size_index within region",reopen_rate_6mo_pct,reopen rate (percentage points),-0.8844667771810539,-1.3109270780426083,-0.4580064763194994,-0.6943946569379104,-1.5603971235254566,0.17160780964963596,0.44184611218290915,7,1737,33,11440,5,1342,12,"C05(1), C12(1), C19(1), C25(3), C27(1)",
nn1,"nearest neighbour, k=1, on size_index within region",days_to_fill,"days to fill (days, center-month panel)",-1.1622897986826826,-1.4485499702895486,-0.8760296270758166,-0.7844987221098616,-1.1225956862499957,-0.44640175796972753,0.17250162084966858,7,168,33,750,5,118,12,"C05(1), C12(1), C19(1), C25(3), C27(1)",
nn2,"nearest neighbour, k=2, on size_index within region",retained_6mo,six-month retention (share of hires),0.03620481095294966,-0.002505909391919213,0.07491553129781853,0.04605374827433902,0.0014333118497206754,0.09067418469895737,0.02276594711769127,7,1737,33,11440,7,1984,14,"C01(1), C05(1), C07(2), C12(1), C19(4), C25(4), C27(1)",
nn2,"nearest neighbour, k=2, on size_index within region",reopen_rate_6mo_pct,reopen rate (percentage points),-0.8844667771810539,-1.3109270780426083,-0.4580064763194994,-0.8836127954682857,-1.660612024421694,-0.10661356651487763,0.39643546263210905,7,1737,33,11440,7,1984,14,"C01(1), C05(1), C07(2), C12(1), C19(4), C25(4), C27(1)",
nn2,"nearest neighbour, k=2, on size_index within region",days_to_fill,"days to fill (days, center-month panel)",-1.1622897986826826,-1.4485499702895486,-0.8760296270758166,-0.7116418722598894,-1.1475833509273987,-0.27570039359238013,0.22242320884779518,7,168,33,750,7,166,14,"C01(1), C05(1), C07(2), C12(1), C19(4), C25(4), C27(1)",
ps,"propensity-score reweighting (logit on size_index + region, ATT weights)",retained_6mo,six-month retention (share of hires),0.03620481095294966,-0.002505909391919213,0.07491553129781853,0.05711716858656094,0.0015794649681404316,0.11265487220498145,0.02833608375281119,7,1737,33,11440,19,6792,26,"C00(1.1), C01(0.081), C02(0.0015), C03(0.12), C05(0.42), C07(0.32), C11(0.013), C12(0.24), C13(0.1), C14(0.42), C19(0.91), C22(0.13), C24(0.0025), C25(2.4), C27(0.22), C28(0.014), C32(0.42), C35(0.056), C36(0.039)",
ps,"propensity-score reweighting (logit on size_index + region, ATT weights)",reopen_rate_6mo_pct,reopen rate (percentage points),-0.8844667771810539,-1.3109270780426083,-0.4580064763194994,-0.46979696712796154,-1.1280292162835643,0.1884352820276412,0.3358389513009702,7,1737,33,11440,19,6792,26,"C00(1.1), C01(0.081), C02(0.0015), C03(0.12), C05(0.42), C07(0.32), C11(0.013), C12(0.24), C13(0.1), C14(0.42), C19(0.91), C22(0.13), C24(0.0025), C25(2.4), C27(0.22), C28(0.014), C32(0.42), C35(0.056), C36(0.039)",
ps,"propensity-score reweighting (logit on size_index + region, ATT weights)",days_to_fill,"days to fill (days, center-month panel)",-1.1622897986826826,-1.4485499702895486,-0.8760296270758166,-0.7753680940939606,-1.0977356970684427,-0.4530004911194784,0.16447628911412493,7,168,33,750,19,436,26,"C00(1.1), C01(0.081), C02(0.0015), C03(0.12), C05(0.42), C07(0.32), C11(0.013), C12(0.24), C13(0.1), C14(0.42), C19(0.91), C22(0.13), C24(0.0025), C25(2.4), C27(0.22), C28(0.014), C32(0.42), C35(0.056), C36(0.039)",
