approach,outcome,unmatched_gap,matched_gap,matched_ci_low,matched_ci_high,wild_boot_p,matched_centers,matched_rows
band,retained_6mo,0.0362,0.0505,0.0053,0.0957,0.0736,9,2050
band,reopen_rate_6mo_pct,-0.8845,-0.8209,-1.3305,-0.3113,,9,2050
band,days_to_fill,-1.1623,-0.7646,-1.0951,-0.434,,9,198
nn1,retained_6mo,0.0362,0.0336,-0.0083,0.0755,,5,1342
nn1,reopen_rate_6mo_pct,-0.8845,-0.6944,-1.5604,0.1716,,5,1342
nn1,days_to_fill,-1.1623,-0.7845,-1.1226,-0.4464,,5,118
nn2,retained_6mo,0.0362,0.0461,0.0014,0.0907,,7,1984
nn2,reopen_rate_6mo_pct,-0.8845,-0.8836,-1.6606,-0.1066,,7,1984
nn2,days_to_fill,-1.1623,-0.7116,-1.1476,-0.2757,,7,166
ps,retained_6mo,0.0362,0.0571,0.0016,0.1127,,19,6792
ps,reopen_rate_6mo_pct,-0.8845,-0.4698,-1.128,0.1884,,19,6792
ps,days_to_fill,-1.1623,-0.7754,-1.0977,-0.453,,19,436
